"","Scientific.Name","Latitude","Longitude","Country"
"359","Adelges tsugae",42.455605,-76.453315,"US"
"360","Adelges tsugae",35.808333,-83.530729,"US"
"361","Adelges tsugae",42.986897,-71.996364,"US"
"362","Adelges tsugae",42.992746,-72.004894,"US"
"363","Adelges tsugae",42.97297,-71.205534,"US"
"364","Adelges tsugae",42.973036,-71.205416,"US"
"365","Adelges tsugae",42.975313,-71.207782,"US"
"366","Adelges tsugae",42.798158,-71.31606,"US"
"367","Adelges tsugae",39.608133,-79.089325,"US"
"368","Adelges tsugae",42.552362,-72.823947,"US"
"369","Adelges tsugae",42.425195,-72.927247,"US"
"370","Adelges tsugae",42.924273,-72.324103,"US"
"371","Adelges tsugae",37.574438,-79.347228,"US"
"372","Adelges tsugae",43.159334,-73.758077,"US"
"373","Adelges tsugae",42.69667,-77.582253,"US"
"374","Adelges tsugae",42.451592,-76.474633,"US"
"375","Adelges tsugae",42.622139,-72.218147,"US"
"376","Adelges tsugae",42.454569,-71.124419,"US"
"377","Adelges tsugae",39.729682,-78.769728,"US"
"378","Adelges tsugae",34.595812,-83.360497,"US"
"379","Adelges tsugae",36.396108,-80.256049,"US"
"380","Adelges tsugae",42.302383,-71.104553,"US"
"381","Adelges tsugae",39.43593,-82.576883,"US"
"382","Adelges tsugae",40.5401,-76.123558,"US"
"383","Adelges tsugae",41.733066,-74.087678,"US"
"384","Adelges tsugae",42.973009,-71.209858,"US"
"385","Adelges tsugae",42.974041,-71.209242,"US"
"386","Adelges tsugae",35.674897,-83.872963,"US"
"387","Adelges tsugae",42.361008,-71.726075,"US"
"388","Adelges tsugae",42.739644,-76.693929,"US"
"389","Adelges tsugae",43.2264,-70.683605,"US"
"390","Adelges tsugae",43.137689,-70.943817,"US"
"391","Adelges tsugae",35.680053,-83.557003,"US"
"392","Adelges tsugae",43.135739,-70.941827,"US"
"393","Adelges tsugae",42.422628,-71.21422,"US"
"394","Adelges tsugae",42.523693,-72.323717,"US"
"395","Adelges tsugae",41.069057,-80.084485,"US"
"396","Adelges tsugae",42.306572,-72.52776,"US"
"397","Adelges tsugae",38.855703,-77.429025,"US"
"398","Adelges tsugae",34.847286,-83.486311,"US"
"399","Adelges tsugae",35.422797,-83.190844,"US"
"400","Adelges tsugae",38.914525,-77.108142,"US"
"401","Adelges tsugae",42.455985,-72.799077,"US"
"402","Adelges tsugae",40.427943,-79.830455,"US"
"403","Adelges tsugae",40.427956,-79.830469,"US"
"404","Adelges tsugae",48.510788,-122.255685,"US"
"405","Adelges tsugae",35.166537,-83.027315,"US"
"406","Adelges tsugae",42.489787,-72.580098,"US"
"407","Adelges tsugae",42.099392,-72.925042,"US"
"408","Adelges tsugae",38.961023,-77.202768,"US"
"409","Adelges tsugae",38.376025,-76.458695,"US"
"410","Adelges tsugae",35.678192,-83.645888,"US"
"411","Adelges tsugae",40.002488,-74.823002,"US"
"412","Adelges tsugae",42.441269,-71.178375,"US"
"413","Adelges tsugae",43.252882,-86.340031,"US"
"414","Adelges tsugae",40.121028,-75.223267,"US"
"415","Adelges tsugae",39.222649,-76.969349,"US"
"416","Adelges tsugae",35.250911,-83.125647,"US"
"417","Adelges tsugae",38.97623,-77.206833,"US"
"418","Adelges tsugae",35.635401,-83.732028,"US"
"419","Adelges tsugae",42.488144,-72.537588,"US"
"420","Adelges tsugae",40.860178,-73.879053,"US"
"421","Adelges tsugae",39.115929,-77.130732,"US"
"422","Adelges tsugae",42.469837,-72.160768,"US"
"423","Adelges tsugae",34.985511,-83.929215,"US"
"424","Adelges tsugae",42.578989,-78.049091,"US"
"425","Adelges tsugae",42.578894,-78.049361,"US"
"426","Adelges tsugae",42.91478,-72.23792,"US"
"427","Adelges tsugae",40.850086,-77.287407,"US"
"428","Adelges tsugae",35.358246,-83.277218,"US"
"429","Adelges tsugae",42.479848,-72.765998,"US"
"430","Adelges tsugae",42.437358,-72.493813,"US"
"431","Adelges tsugae",42.200195,-77.087929,"US"
"432","Adelges tsugae",40.422367,-76.862386,"US"
"433","Adelges tsugae",42.73109,-72.78787,"US"
"434","Adelges tsugae",42.824488,-71.333688,"US"
"435","Adelges tsugae",40.694577,-74.680864,"US"
"436","Adelges tsugae",35.715707,-85.340138,"US"
"437","Adelges tsugae",41.664359,-77.827419,"US"
"438","Adelges tsugae",41.685792,-78.847047,"US"
"439","Adelges tsugae",42.763631,-72.207761,"US"
"440","Adelges tsugae",42.763713,-72.208519,"US"
"441","Adelges tsugae",40.732999,-77.754951,"US"
"442","Adelges tsugae",42.379854,-72.473072,"US"
"443","Adelges tsugae",42.699327,-76.415952,"US"
"444","Adelges tsugae",42.808083,-76.691008,"US"
"445","Adelges tsugae",40.90586,-76.462894,"US"
"446","Adelges tsugae",40.904293,-76.461608,"US"
"447","Adelges tsugae",39.727972,-79.18218,"US"
"448","Adelges tsugae",42.414072,-76.789023,"US"
"449","Adelges tsugae",40.80426,-73.420907,"US"
"450","Adelges tsugae",35.537756,-81.679517,"US"
"451","Adelges tsugae",39.222496,-76.969269,"US"
"452","Adelges tsugae",39.678712,-78.987853,"US"
"453","Adelges tsugae",41.532687,-71.801818,"US"
"454","Adelges tsugae",34.637045,-84.331637,"US"
"455","Adelges tsugae",40.877498,-75.561773,"US"
"456","Adelges tsugae",42.8663,-73.714058,"US"
"457","Adelges tsugae",35.770352,-83.11332,"US"
"458","Adelges tsugae",37.813219,-78.907637,"US"
"459","Adelges tsugae",40.837993,-77.85931,"US"
"460","Adelges tsugae",38.865779,-76.115334,"US"
"461","Adelges tsugae",40.774987,-75.288847,"US"
"462","Adelges tsugae",36.396572,-80.287613,"US"
"463","Adelges tsugae",39.580298,-79.058084,"US"
"464","Adelges tsugae",39.329775,-82.098869,"US"
"465","Adelges tsugae",40.861188,-73.875774,"US"
"466","Adelges tsugae",42.440203,-78.895606,"US"
"467","Adelges tsugae",35.747379,-82.364884,"US"
"468","Adelges tsugae",40.032471,-76.331413,"US"
"469","Adelges tsugae",36.044874,-85.599325,"US"
"470","Adelges tsugae",39.076072,-77.178545,"US"
"471","Adelges tsugae",39.329811,-82.098853,"US"
"472","Adelges tsugae",39.329614,-82.097232,"US"
"473","Adelges tsugae",43.232465,-77.558554,"US"
"474","Adelges tsugae",41.627563,-77.887989,"US"
"475","Adelges tsugae",38.934496,-78.293162,"US"
"476","Adelges tsugae",39.326153,-76.646553,"US"
"477","Adelges tsugae",42.691538,-71.891572,"US"
"478","Adelges tsugae",41.189513,-74.887049,"US"
"479","Adelges tsugae",37.56458,-79.539653,"US"
"480","Adelges tsugae",39.735752,-78.805072,"US"
"481","Adelges tsugae",39.646967,-79.138238,"US"
"482","Adelges tsugae",40.935262,-80.186743,"US"
"483","Adelges tsugae",34.191589,-84.43795,"US"
"484","Adelges tsugae",40.025667,-75.212312,"US"
"485","Adelges tsugae",43.585997,-73.566055,"US"
"486","Adelges tsugae",35.751847,-83.39187,"US"
"487","Adelges tsugae",43.902578,-70.181572,"US"
"488","Adelges tsugae",42.60332,-71.815072,"US"
"489","Adelges tsugae",41.934195,-72.160453,"US"
"490","Adelges tsugae",44.243625,-72.244025,"US"
"491","Adelges tsugae",35.647981,-82.302006,"US"
"492","Adelges tsugae",36.977683,-80.741317,"US"
"493","Adelges tsugae",42.217866,-73.705834,"US"
